Alanine,Valine,Leucine,Isoleucine,Glycine,Proline,Serine,Threonine,beta-alanine,GABA,Aspartate,Methionine,O-acetyl-serine,Phenylalanine,Glutamine,Lysine,Tyrosine,Threonic acid,Pyruvic acid,Succinic acid,Fumaric acid,Malic acid,Glycolic acid,Benzoic acid,Nicotinic acid,Gluconic acid,Shikimate,Arabitol,Fructose ,Glucose ,Sucrose,Maltose ,myo-inositol,Uracil,Sinapic acid
1.0242,1.0081,1.6419,1.3181,0.5191,1.1538,1.0527,1.0113,1.4695,1.2605,0.9308,0.8688,0.8306,0.8688,0.8995,1.6035,1.4825,0.6388,0.9858,1.2519,0.8528,0.7633,0.7254,0.9176,0.9055,1.0496,0.9087,1.0525,1.1715,0.7166,0.8038,1.2844,1.0479,2.0477,1.3699
0.8161,1.0280,2.3434,1.3095,0.3126,0.6992,0.9383,0.8633,1.1756,1.4038,1.1519,0.5945,0.7178,0.7782,0.7845,2.0894,1.7523,1.0037,0.7482,1.2108,0.7331,0.7690,1.0250,0.9434,1.0729,1.0314,0.6586,1.1144,0.4781,0.7111,0.5659,1.0305,0.7598,2.6214,1.0960
1.1803,0.9000,0.9696,0.8807,0.6590,1.3809,0.9301,0.7996,1.1418,1.3439,1.0908,0.7829,1.3726,0.5355,1.1938,1.4504,0.9146,1.0512,0.9477,2.3991,0.9165,0.8490,0.6966,0.9820,0.8807,1.1541,0.9146,0.8807,1.1010,1.1471,0.9315,1.8325,1.0962,1.5868,1.1191
0.9520,1.4027,3.0684,2.2189,0.9824,1.0889,0.6162,1.1402,1.5398,1.0437,1.5741,0.8564,0.6838,1.1482,1.3950,2.5043,2.9130,1.2725,0.8739,1.9012,0.7187,0.7861,0.4692,1.1848,0.9794,0.9722,0.5048,1.7512,0.5151,0.4877,0.4636,0.8566,0.8175,1.3280,0.8950
0.8800,1.0023,1.8841,1.5993,0.3771,0.4140,0.5192,0.6097,1.1227,0.9356,1.1385,0.5661,0.9010,0.9128,0.2441,1.1854,1.2189,0.8385,0.6939,2.5180,1.1083,0.8123,4.8519,1.6620,1.4915,1.0075,0.7546,1.5728,0.9989,0.7362,0.4922,0.3751,1.1662,2.5946,0.6650
0.9133,2.0581,4.6382,4.1960,0.6720,1.0650,1.4981,1.5204,2.1391,1.6751,1.4853,0.9961,0.8579,1.6607,0.7011,4.1401,3.3778,0.7740,0.5534,1.5653,0.8033,0.6992,1.5643,1.3080,1.4019,0.9230,0.5013,1.2248,0.3104,0.4699,0.5143,0.5008,0.8207,2.2368,1.1211
0.8935,1.5350,3.7671,2.8585,0.2429,0.7244,0.9652,0.9877,1.7235,1.6880,1.2278,0.6456,0.9235,1.3971,0.6170,2.8839,3.1215,0.7628,0.4765,2.1137,1.0854,0.8876,0.7621,0.9998,0.9878,1.0985,0.5700,1.1005,0.7519,0.6549,0.8937,1.1019,1.0876,3.6027,1.0225
0.5332,0.7547,0.7263,0.9097,0.9862,0.7638,1.0707,1.0788,0.7841,0.7632,1.0090,0.9992,0.5056,0.8486,0.4239,0.8239,0.5992,1.3403,1.2215,1.1151,1.1057,1.0000,1.5319,1.2653,1.3661,1.2673,1.1919,0.9171,1.4524,1.0378,0.6323,0.6467,1.3919,1.4820,1.0955
0.5486,0.6724,0.4607,0.5576,0.7718,2.1240,0.6458,0.8908,0.5393,0.4912,0.9042,1.2155,0.8068,0.6677,0.9962,0.7711,0.5188,1.1675,1.1286,0.9166,0.8994,0.8677,1.1662,1.3602,1.0573,0.9771,1.2286,0.8687,1.3396,1.2441,0.9460,1.0121,1.1507,0.9669,1.0947
0.7156,0.7671,0.5990,0.6268,1.0420,1.4720,0.6480,1.1143,0.6381,0.5793,1.1387,1.4226,1.2024,0.7895,1.6025,0.8707,0.6030,0.9121,1.1322,0.9187,0.9644,0.9844,0.6334,0.6728,1.1245,1.0954,1.2409,0.9339,1.6293,1.9305,0.8800,1.1453,0.9766,0.6341,1.3699
0.5298,0.6996,0.6233,0.6338,0.7646,1.0417,0.7569,0.8199,0.5167,0.7303,1.0455,1.1352,0.7733,0.6596,0.8507,0.8127,0.5446,1.6953,0.9299,0.9262,1.0629,1.1717,0.5508,0.8965,0.4344,1.0417,1.0692,1.0876,1.1283,1.1617,1.0226,0.9084,1.1976,0.2033,1.0804
